Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
S C I,523598.0,SCI,Shipping,178.01,8303.98,63.75,11.86,20.05,0.32,8.49,5.05,7.43,31.85,933.93,8.89,0.28,12.43,37.34,10.0,0.22,1.74,10.86,5.43,-2.89,40.26,8.75,11.08,-21.67,20.09,39.49,1809.15,933.93,5793.95,1559.59,22.14,3679.0,5277.45,2487.89,4590.91,3902.77,6188.01,524.21,4.68,3.16,10.29,13.32,9.15,7.62,5680.01,4.93,1.63,1.63,40.26,-2.89,3.8,55.5,173.1,Services
Sagility India,544282.0,SAGILITY,Computers - Software - Medium / Small,41.06,19207.85,82.39,31.76,0.53,0.19,3.6,2.16,4.71,22.89,227.67,84.37,0.0,12.69,54.26,39.3,,1.69,,,,,,,,,,1088.09,228.27,4218.41,1039.39,4.69,,,1467.46,,1798.15,,-241.16,3.39,7.47,4.61,2.88,4.66,4.66,4753.56,18.12,1.69,1.69,,,0.0,45.3,42.84,Information Technology
Sai Life,544306.0,SAILIFE,Pharmaceuticals - Indian - Formulations,696.8,14525.85,35.17,36.45,,0.95,8.89,3.73,10.57,19.6,82.8,175.43,0.0,20.38,710.97,339.18,72.49,1.28,24.46,16.08,10.66,2.42,,3.28,,,,287.14,82.81,1217.14,169.46,69.44,637.18,249.05,128.44,,587.36,,-23.56,12.36,13.26,5.68,1.16,6.54,6.54,1465.18,48.37,1.16,1.16,,,0.0,47.58,711.03,Healthcare
Sammaan Capital,535789.0,SAMMAANCAP,Finance - Housing,120.55,10011.58,0.0,19.56,-23.13,2.3,6.56,1.65,10.08,29.69,-1811.32,,1.66,6.05,-256.5,6.78,,2.4,-4.97,-12.8,0.38,-21.52,8.26,6.77,-29.17,-4.15,0.38,2627.42,-1812.09,8719.33,7319.45,-62.35,68805.43,105756.2,4417.24,30774.1,4534.86,30954.41,-915.88,24.69,5.92,9.79,6.62,9.81,9.81,8850.29,18.37,2.4,2.4,-23.71,-1.71,9.31,52.65,120.9,Financial services
Samvardh. Mothe.,517334.0,MOTHERSON,Auto Ancillaries,133.27,93793.38,58.13,22.85,5.99,0.78,11.8,4.38,13.68,9.73,4124.07,22.74,0.6,18.39,156.79,46.53,1.85,1.13,19.82,9.21,38.98,12.26,8.83,8.51,1.58,13.26,22.75,10843.62,4474.34,78788.1,6251.4,31.91,11929.6,11534.2,6045.5,13322.1,14674.6,26077.9,2205.1,12.42,20.96,8.76,7.16,9.56,9.12,111403.96,9.03,0.87,0.87,4.5,23.35,19.96,55.26,131.4,Automobile and Auto Components
Sanofi India,500674.0,SANOFI,Pharmaceuticals - Multinational,5943.0,13677.89,60.4,47.76,179.78,0.02,47.15,26.59,49.16,24.38,442.27,30.93,1.97,0.86,-24.94,38.74,-70.3,1.57,-12.02,-8.1,-8.7,-0.44,31.94,40.62,16.31,11.56,4.48,490.8,413.5,1996.1,487.7,0.64,24.6,0.0,1058.5,2441.6,1091.2,2261.1,-109.1,5.58,23.02,43.91,51.43,44.81,40.15,2013.2,26.42,0.87,0.87,-0.44,-8.7,65.08,46.62,5898.76,Healthcare
Sapphire Foods,543397.0,SAPPHIRE,Hotels,316.5,10171.77,26.08,413.29,0.62,0.88,4.04,1.93,7.27,16.9,24.61,413.29,0.0,11.07,-86.73,175.75,15.87,0.94,36.52,16.79,36.4,26.05,4.08,10.49,11.22,6.03,,473.5,16.72,2265.57,429.92,3.73,644.88,95.9,173.64,325.82,1225.46,1592.58,49.35,30.42,38.51,9.81,20.74,8.64,4.93,2802.23,22.06,0.75,0.75,22.87,34.73,0.0,52.12,312.11,Services
Sarda Energy,504614.0,SARDAEN,Steel - Medium / Small,452.0,15948.31,73.16,22.41,19.46,0.48,14.11,8.98,15.28,26.07,679.69,23.46,0.22,5.87,25.37,29.56,1.13,2.22,20.72,10.73,11.22,20.69,18.19,20.28,88.18,55.35,99.87,1119.07,689.79,4211.9,1060.21,30.19,1713.55,1395.32,1616.38,1485.34,2370.97,2894.97,96.19,3.46,3.79,19.31,18.69,21.14,17.19,4293.26,13.76,1.72,1.72,21.24,12.07,6.74,40.59,484.15,Metals & Mining
Saregama India,532163.0,SAREGAMA,Entertainment / Electronic Media Software,524.05,10120.08,59.65,38.45,10.26,0.0,14.19,10.68,19.6,22.34,197.93,51.13,0.86,60.51,5.77,2335.83,1.71,2.9,22.02,8.07,21.03,29.82,15.15,14.48,21.67,9.17,82.76,266.69,198.28,736.62,220.98,18.16,1.1,63.77,12.99,251.75,281.11,550.16,40.22,16.45,4.63,18.6,13.61,20.49,22.01,1193.59,28.89,2.43,2.43,27.16,16.92,39.03,48.01,519.52,"Consumer Services, Information Technology, Media Entertainment & Publication"
SBFC Finance,543959.0,SBFC,Finance & Investments,102.25,11103.25,53.33,20.15,3.18,1.65,11.57,4.41,11.53,68.47,345.17,32.17,0.0,28.08,45.56,-8.66,0.56,3.41,35.12,24.03,74.69,57.6,9.7,10.86,17.06,,,893.57,345.17,1018.97,681.3,31.16,2939.91,3055.61,-3847.28,-4968.18,-3815.21,-4912.05,41.21,6.53,17.67,10.93,10.53,10.79,9.74,1305.12,17.82,3.41,3.41,47.03,60.01,0.0,62.11,92.83,Financial services
SBI Cards,543066.0,SBICARD,Finance & Investments,873.55,83129.44,68.6,20.15,20.14,3.26,14.82,3.1,10.4,29.55,1916.41,43.38,0.29,6.4,-20.41,-17.21,4.81,0.58,19.17,14.26,5.83,9.01,20.17,20.14,19.94,1.68,7.83,5340.97,1916.41,16985.69,5525.99,-3.35,22982.46,17572.75,-14485.54,-18341.43,-14262.51,-17961.65,55.48,9.88,17.22,12.54,21.98,12.0,11.54,18072.22,21.22,0.58,0.58,8.72,5.53,12.41,50.85,851.28,Financial services
SBI Life Insuran,540719.0,SBILIFE,Finance & Investments,1765.8,177079.84,55.38,49.5,24.08,0.0,15.13,0.56,16.88,1.15,2413.3,73.38,0.15,-11.44,44.54,6.39,6.51,1.39,12.1,21.69,17.02,11.28,13.8,13.52,22.92,16.89,19.43,1346.47,2413.3,131987.78,245.66,448.1,0.0,0.0,83015.07,128563.36,83324.56,129054.14,3542.99,21.88,18.67,13.23,11.96,14.94,15.46,116888.42,65.08,1.39,1.39,11.23,16.95,11.21,77.67,1546.8,Financial services
Schaeffler India,505790.0,SCHAEFFLER,Bearings,3472.9,54317.45,74.13,29.96,64.96,0.01,19.17,14.85,25.67,18.4,1015.41,53.49,0.81,12.94,10.28,204.42,2.48,2.87,13.25,13.12,15.82,21.59,18.32,20.24,-5.88,14.6,38.2,1533.96,1015.41,7226.13,1327.33,13.85,60.7,0.0,796.61,1490.21,2534.88,3648.74,394.31,4.49,16.03,26.72,20.01,27.13,23.79,8337.09,31.94,1.88,1.88,21.59,15.82,44.76,60.66,3276.47,Metals & Mining
Schneider Elect.,534139.0,SCHNEIDER,Electric Equipment,575.5,13768.25,75.0,50.27,9.06,1.29,126.24,11.96,37.02,14.65,203.25,67.74,0.0,17.53,-6.6,147.44,0.49,1.5,19.38,9.68,146.18,138.2,,,-28.72,61.2,47.12,369.3,216.56,1777.19,167.86,30.26,628.98,537.77,279.99,269.19,399.88,411.86,27.74,3.0,3.22,26.33,1194.71,25.93,18.57,2521.57,36.1,1.07,1.07,138.2,146.18,0.0,37.68,635.93,"Capital Goods, Energy"
Sh.Renuka Sugar,532670.0,RENUKA,Sugar,28.79,6125.83,62.48,14.25,-2.36,,,-7.04,10.15,4.85,-502.4,,0.0,14.35,-6.44,21.18,,0.5,26.07,20.22,,9.11,,,-35.66,-18.81,40.02,567.2,-504.0,9017.19,590.19,-9.42,4446.92,2901.58,867.85,-426.27,1706.08,703.23,-129.16,3.46,10.15,9.41,,8.6,10.36,11689.3,18.15,0.12,0.12,9.74,,0.0,48.49,30.12,Fast Moving Consumer Goods
Shree Cement,500387.0,SHREECEM,Cement - North India,29710.0,107210.55,62.55,46.03,339.05,0.08,12.24,8.88,14.76,20.51,1223.17,87.65,0.35,-4.73,-45.53,-4358.7,5.51,2.01,14.81,10.33,1.92,15.91,12.28,11.06,21.54,4.65,8.49,3927.29,1224.56,17852.33,2959.5,-1.43,2229.88,2802.67,-73.82,5483.69,8584.21,16811.18,219.57,9.7,15.07,8.51,6.98,13.28,14.86,19151.83,24.1,1.55,1.55,15.1,1.92,15.81,46.57,29314.05,Construction Materials
Shriram Finance,511218.0,SHRIRAMFIN,Finance & Investments,611.7,115041.8,25.4,20.15,50.81,4.15,15.76,3.07,10.97,71.77,8308.61,13.85,1.47,14.97,12.8,-3.71,0.51,9.23,29.52,20.36,45.07,27.03,15.15,16.21,19.86,36.52,32.08,30024.1,9576.32,36388.26,26110.55,14.99,114846.14,94734.56,-93082.3,-106239.3,-92378.56,-105476.35,4530.4,53.58,15.34,11.27,15.93,11.47,10.91,41834.42,10.91,9.23,9.23,17.36,29.98,19.49,39.3,636.07,Financial services
Shyam Metalics,543299.0,SHYAMMETL,Steel - Large,860.85,24044.18,74.59,17.31,32.53,0.11,12.07,7.86,10.79,12.27,907.47,26.5,0.52,12.19,-14.68,509.57,2.38,1.23,27.97,23.43,6.62,11.13,18.54,18.09,36.85,38.11,,1792.05,911.05,12658.07,1499.41,15.22,795.99,728.64,141.45,181.87,4873.91,5839.08,-51.37,3.75,7.68,14.57,12.61,23.17,21.35,14604.34,12.43,0.65,0.65,7.24,0.48,12.09,49.58,839.02,"Construction Materials, Metals & Mining"
Siemens,500550.0,SIEMENS,Electric Equipment,2901.5,103227.96,75.0,50.27,79.34,0.02,17.65,10.7,23.61,13.24,2274.3,45.39,0.41,-1.3,19.1,82.7,2.43,2.26,19.0,11.19,32.18,18.68,13.8,15.92,-13.38,30.6,34.73,2515.4,2826.8,19553.8,2487.1,7.46,4.1,0.0,3748.1,5772.7,4048.0,6189.9,644.2,8.19,7.28,21.02,15.72,20.07,17.19,18997.6,27.62,1.97,1.97,18.68,32.18,15.73,51.01,2971.67,"Capital Goods, Energy"
SignatureGlobal,543990.0,SIGNATURE,Construction,1148.1,16115.27,69.63,32.22,5.78,3.62,-7.29,-0.34,1.94,0.77,81.21,198.44,0.0,113.61,567.53,-426.55,,1.21,147.26,,19.27,,,,-8.88,,,20.52,81.35,1553.57,6.27,238.74,1186.4,,-113.45,,19.46,,-28.22,10.36,5.16,1.15,,-1.43,-1.62,2671.95,123.68,0.32,0.32,,25.73,0.0,54.51,1136.73,"Construction Materials, Metals & Mining, Realty"
SJVN,533206.0,SJVN,Power Generation And Supply,94.03,36951.87,81.85,31.76,2.57,1.63,5.9,2.31,4.99,70.76,916.09,40.34,1.91,17.32,2.52,-9.36,-3.98,1.37,1.24,-0.5,-24.03,-10.14,10.1,7.97,-30.04,48.87,34.77,2158.43,1006.82,2938.35,2273.42,24.34,2173.63,2155.11,-11842.16,-11480.37,5079.17,8775.36,309.2,2.49,4.2,9.27,10.28,7.82,10.8,3050.52,22.53,1.35,1.35,-10.14,-24.03,77.61,49.56,94.15,"Capital Goods, Diversified, Energy, Oil Gas & Consumable Fuels"
SKF India,500472.0,SKFINDIA,Bearings,3885.7,19240.46,52.58,29.96,108.79,0.0,21.94,16.14,29.15,13.28,537.84,35.77,3.35,10.05,7.62,54.99,3.39,2.17,19.61,8.53,22.91,10.56,20.54,23.16,-16.01,4.92,21.23,652.09,537.84,4304.92,749.41,-2.08,17.58,90.0,1047.19,1572.39,1371.41,2025.16,262.18,8.21,26.51,34.47,24.81,31.41,27.26,4909.95,23.13,1.47,1.47,10.56,22.91,116.48,54.02,3895.05,Metals & Mining
Sobha,532784.0,SOBHA,Construction,1322.1,14126.25,52.88,32.22,5.69,0.44,1.97,0.38,7.12,7.37,60.87,232.07,0.23,0.48,-32.86,17.45,-7.69,1.17,13.65,-2.09,-7.44,-30.16,5.3,4.07,-23.55,27.95,46.6,262.34,60.87,3310.11,369.51,-20.67,3051.64,2603.89,2429.92,2996.51,2624.11,3531.3,-165.66,8.91,23.98,8.32,4.24,8.4,11.78,3560.94,37.36,0.23,0.23,-30.16,-7.44,57.94,62.24,1247.49,"Construction Materials, Metals & Mining, Realty"
Solar Industries,532725.0,SOLARINDS,Chemicals,13172.0,119142.57,73.15,106.16,124.02,0.32,30.9,18.25,32.47,25.4,1122.26,106.16,0.06,9.35,39.07,338.03,3.77,1.53,34.12,19.78,49.07,28.18,27.53,30.76,46.88,68.35,71.59,1774.39,1184.53,6918.41,1336.45,29.47,807.56,603.4,1057.96,1241.03,2360.29,3041.78,14.82,5.82,14.1,36.11,34.79,31.06,26.37,6984.42,64.3,1.0,1.0,28.18,49.07,9.2,70.39,11117.3,"Chemicals, Diversified"
Sona BLW Precis.,543300.0,SONACOMS,Auto Ancillaries,481.15,29923.09,28.02,22.85,9.67,0.04,15.08,11.81,18.72,27.26,614.17,48.72,0.64,11.34,18.88,96.34,1.49,6.94,18.51,27.85,20.42,32.74,18.02,17.53,-23.06,-8.86,,966.76,599.68,3184.78,902.3,7.14,151.15,365.9,931.53,956.98,2001.23,2588.53,953.45,29.91,34.43,24.02,20.91,21.6,21.49,3546.02,26.15,6.31,6.31,-20.75,17.95,33.09,54.17,483.8,Automobile and Auto Components
Sonata Software,532221.0,SONATSOFTW,Computers - Software - Medium / Small,421.55,11824.45,28.17,31.76,15.24,0.42,30.34,8.72,35.51,6.79,427.49,27.66,1.87,16.76,-0.87,37.39,2.47,0.98,26.77,23.81,19.32,11.2,34.65,34.85,-39.01,14.34,39.63,661.1,427.49,7449.12,604.38,-10.04,185.01,15.62,948.48,1749.32,999.14,1810.33,118.62,10.76,25.85,39.12,37.68,39.59,41.76,9731.66,15.4,0.96,0.96,11.2,19.31,102.54,68.01,383.44,Information Technology
SPARC,532872.0,SPARC,Miscellaneous,145.95,4730.02,65.67,,-12.05,0.45,-121.92,-59.05,-109.1,-622.95,-390.93,,0.0,-42.69,-7.57,-18.4,,1.0,-33.16,-16.2,,,,,-37.17,-18.06,2.08,-380.87,-390.93,238.78,-213.95,1.29,236.38,1.64,-772.3,-1189.84,-706.78,-1069.49,4.48,1.45,1.13,-67.26,-81.79,-131.57,-163.81,61.14,-12.36,1.0,1.0,,,0.0,48.65,148.54,Fast Moving Consumer Goods
SRF,503806.0,SRF,Chemicals,3008.9,89173.55,50.26,27.93,38.69,0.44,12.22,6.8,12.71,17.61,1146.93,77.75,0.24,4.51,-22.29,1160.44,4.94,1.03,16.08,13.1,3.61,15.73,19.7,19.16,14.8,6.19,32.25,2456.85,1146.93,14870.25,3529.2,-12.87,3468.59,3730.19,230.56,729.04,7101.29,10177.41,-208.65,18.28,18.42,22.37,22.84,19.67,18.25,13949.47,36.56,0.57,0.57,15.02,3.58,16.03,55.12,2886.82,"Chemicals, Diversified"
St Bk of India,500112.0,SBIN,Banks - Public Sector,788.65,704533.81,57.43,8.52,88.91,12.58,17.34,1.1,6.16,48.69,79345.03,8.88,1.74,14.68,15.32,-216.85,0.09,,16.45,11.63,44.11,98.73,13.0,15.66,-4.55,16.69,32.86,234395.45,82345.9,350844.58,146541.42,24.18,4149127.45,3354288.72,-9737.32,97217.1,-6686.4,107161.06,8260.39,9.94,24.92,5.2,16.75,5.26,5.06,481410.17,16.79,,,98.73,44.11,18.23,52.52,770.87,Banks - Public Sector
Star Health Insu,543412.0,STARHEALTH,Finance & Investments,389.8,22914.8,57.67,49.5,10.99,0.07,9.57,3.35,11.93,5.27,645.86,35.48,0.0,14.83,-23.58,18.51,1.84,0.18,14.95,26.42,37.88,19.24,-0.05,11.92,-31.81,-18.17,,849.3,645.86,14022.38,1183.68,-28.25,720.0,250.0,3713.44,4550.48,3964.4,4910.34,223.84,18.69,15.44,17.69,14.29,14.77,-7.51,16101.23,26.38,0.18,0.18,15.01,37.66,0.0,56.92,386.34,Financial services
Sterling & Wils.,542760.0,SWSOLAR,Engineering - Turnkey Services,271.4,6338.15,45.73,28.88,3.49,0.93,8.24,1.72,15.99,3.92,81.45,77.82,0.0,107.61,138.63,-15.01,-3.36,1.28,6.62,2.48,27.84,-23.16,-74.09,-76.14,-58.63,-10.73,10.38,246.73,85.55,3035.37,-7.33,3466.03,446.21,1234.04,-1266.33,-2781.16,-1252.94,-2741.72,279.91,8.43,7.5,3.77,-56.67,-15.22,-25.1,6301.86,22.92,1.28,1.28,-28.72,27.5,0.0,46.87,288.75,"Metals & Mining, Realty"
Sumitomo Chemi.,542920.0,SUMICHEM,Pesticides / Agrochemicals - Indian,508.6,25414.25,75.0,25.5,10.27,0.01,15.33,11.1,20.83,20.85,512.82,49.56,0.18,9.58,54.06,70.78,3.0,3.0,2.34,4.97,2.27,16.54,21.39,20.77,26.8,5.8,15.9,644.11,512.82,3510.97,668.41,54.98,32.64,19.75,1075.9,1641.53,1368.77,2014.9,-0.99,3.63,8.13,30.24,23.39,28.25,28.79,3089.93,32.67,2.46,2.46,,2.27,79.67,39.13,525.21,
Sun Pharma.Inds.,524715.0,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1832.3,439800.66,54.48,29.08,47.65,0.04,16.69,12.08,17.32,28.28,11791.48,37.3,0.74,8.76,25.94,64.62,1.6,2.67,13.13,10.78,25.14,23.38,13.79,15.84,21.98,25.42,31.59,14590.75,11469.56,43885.68,11650.44,14.08,3868.58,10514.36,20408.88,30611.02,26078.85,38803.99,4661.92,17.96,18.58,16.44,16.55,17.02,14.8,51602.5,26.19,2.09,2.09,23.38,25.14,33.82,61.93,1736.06,Healthcare
Sun TV Network,532733.0,SUNTV,Entertainment / Electronic Media Software,620.9,24476.31,75.0,38.45,44.32,0.01,19.34,17.77,26.2,55.18,1746.54,14.01,2.7,-3.01,-7.62,18.63,2.13,10.1,10.46,2.51,9.46,6.58,20.6,19.61,-5.26,8.77,10.08,2227.08,1747.29,3772.05,2393.1,-14.75,80.35,0.0,3939.63,6170.62,5900.48,9020.32,160.91,6.87,10.45,25.49,19.2,26.38,27.65,4035.78,8.56,10.1,10.1,6.58,9.46,34.29,42.72,636.74,"Consumer Services, Information Technology, Media Entertainment & Publication"
Sundaram Finance,590071.0,SUNDARMFIN,Finance & Investments,5256.6,58372.63,37.22,20.15,143.51,4.5,14.16,3.17,9.21,78.25,1631.23,35.78,0.57,27.11,1.87,-12.93,3.07,2.19,11.18,14.5,8.62,11.65,14.16,14.15,10.76,37.73,33.02,6559.51,1798.88,5500.69,4215.92,26.46,36461.07,25023.47,-13545.31,-13126.84,-13209.37,-12751.08,357.35,19.0,7.54,8.01,14.16,8.34,8.55,8382.47,17.18,2.19,2.19,11.65,8.62,23.02,64.53,4821.82,Financial services
Sundram Fasten.,500403.0,SUNDRMFAST,Auto Ancillaries,917.1,19294.88,46.95,22.85,26.09,0.23,16.22,10.94,18.54,16.09,548.22,35.2,0.75,4.31,6.56,91.25,13.33,1.81,15.85,4.45,13.65,2.64,17.0,17.2,-17.89,4.42,22.52,947.76,551.67,5662.75,853.47,7.05,710.2,995.13,633.51,1294.87,1458.86,2630.62,-35.02,12.97,20.94,19.32,17.35,19.28,18.07,5891.31,20.5,1.11,1.11,2.64,13.65,27.59,48.49,943.31,Automobile and Auto Components
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,3539.0,44961.08,48.85,26.18,75.64,0.01,17.84,14.0,22.95,13.7,960.88,46.79,0.85,3.08,-7.0,92.95,3.02,2.36,10.36,13.64,-0.03,15.5,23.32,19.91,-30.09,22.04,26.45,1431.65,960.88,10134.26,1547.33,-7.48,45.68,440.77,1450.69,2480.25,3306.96,5023.58,-227.05,22.94,13.25,28.56,21.73,25.91,30.8,10446.25,27.39,1.35,1.35,15.5,-0.03,44.96,54.82,3553.32,"Consumer Durables, Fast Moving Consumer Goods"
Suven Pharma,543064.0,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,1137.1,29004.01,50.1,29.08,10.97,0.02,14.11,12.66,18.78,35.76,279.0,103.96,0.0,-10.22,-24.77,118.51,5.3,4.9,1.36,22.71,-9.44,19.6,26.39,21.94,72.17,23.51,50.29,374.99,279.41,1340.33,574.18,-25.43,143.04,82.79,732.86,1308.57,1145.68,1935.15,-17.57,11.05,16.6,32.47,24.51,30.7,36.47,1048.49,65.91,4.0,4.0,-71.37,-9.44,0.0,47.88,1147.01,Healthcare
Suzlon Energy,532667.0,SUZLON,Electric Equipment,56.4,76422.48,13.25,50.27,0.85,0.06,28.77,11.37,24.93,16.36,1170.33,65.3,0.0,54.24,136.36,147.21,3.31,1.71,24.96,5.38,44.85,19.73,,,35.58,83.15,88.18,1521.18,1144.77,5970.53,833.2,68.24,6925.22,11552.03,1556.1,1008.77,1872.51,1473.97,59.53,23.04,8.73,19.97,,21.84,5.64,9296.01,47.43,0.93,0.93,17.34,41.14,0.0,49.83,56.26,"Capital Goods, Energy"
Swan Energy,503310.0,SWANENERGY,Diversified - Medium / Small,401.8,12602.31,53.96,22.08,25.51,0.36,7.01,5.21,8.25,-0.69,778.76,16.18,0.02,20.38,178.86,-9.33,0.18,1.46,150.16,41.27,85.4,90.55,0.33,1.48,-35.24,7.63,32.03,-37.74,952.34,1438.14,231.15,-104.04,3076.89,1077.15,-4050.6,-6323.25,-180.1,27.26,1117.91,10.25,13.24,2.19,-2.07,3.51,2.62,5480.03,7.34,1.4,1.4,82.09,75.53,1.04,41.48,449.36,Diversified
Swiggy,544285.0,SWIGGY,Miscellaneous,316.4,72402.59,0.0,42.07,,0.15,,-21.13,-24.39,-19.55,-2304.4,,0.0,36.09,44.7,-21.73,,2.47,64.06,,-24.46,,,,,,,-2199.38,-2350.24,8264.6,-4273.09,48.53,92.68,,-10001.77,,-9273.04,,36.59,4.9,9.33,-36.64,,-36.18,-36.18,11247.39,-40.2,2.45,2.45,,,0.0,37.02,355.6,Fast Moving Consumer Goods
Syngene Intl.,539268.0,SYNGENE,Miscellaneous,634.05,25571.65,52.74,43.72,12.33,0.12,10.51,7.29,13.46,28.6,472.14,54.16,0.2,4.41,-9.36,60.95,9.57,1.64,11.83,12.6,4.17,5.66,12.96,12.31,-8.0,0.38,14.51,1041.8,496.2,3488.6,1016.9,2.45,1021.6,772.9,1256.1,1615.9,3033.2,4315.0,281.1,19.47,21.5,14.74,13.23,14.32,14.05,3642.4,22.78,1.53,1.53,5.53,4.02,10.14,35.59,708.83,Fast Moving Consumer Goods
Syrma SGS Tech.,543573.0,SYRMA,Electronics - Components,465.4,8270.83,46.52,46.25,7.84,0.4,6.81,3.99,9.84,6.71,140.91,58.7,0.32,48.04,22.11,-35.01,,1.31,52.7,,19.85,,,8.74,-4.59,,,268.28,158.21,2048.39,191.98,47.12,102.94,,-708.31,-582.02,-169.37,23.54,31.89,6.2,7.74,14.97,11.24,12.21,12.68,3995.92,26.01,0.82,0.82,,-80.64,24.8,46.21,476.41,Capital Goods
T R I L,532928.0,TARIL,Electric Equipment,494.95,14853.76,64.36,50.27,7.14,0.23,23.45,12.75,27.97,16.24,211.8,70.13,0.04,56.23,378.72,-1072.03,0.28,1.45,20.31,23.55,147.62,250.57,13.02,16.93,57.85,204.79,169.52,327.45,216.43,1291.04,134.1,144.18,324.52,308.09,-41.58,43.29,214.11,312.43,3.66,11.33,7.22,14.81,9.33,19.19,15.43,2016.93,41.69,0.89,0.89,241.97,137.57,2.8,47.62,489.0,"Capital Goods, Energy"
Tanla Platforms,532790.0,TANLA,Computers - Software - Medium / Small,474.35,6376.43,44.1,31.76,37.68,0.03,24.1,15.99,29.12,17.15,507.28,12.57,2.53,2.54,-7.52,18.43,0.33,2.31,7.9,15.7,-2.02,38.24,33.34,28.53,-48.2,-30.58,47.8,690.84,507.28,3927.79,734.98,-6.01,53.53,5.39,1039.29,1993.82,1478.74,2526.65,213.57,10.39,0.8,38.28,31.71,35.11,43.17,4027.72,7.61,2.31,2.31,39.62,-1.75,31.84,47.87,498.21,Information Technology
Tata Chemicals,500770.0,TATACHEM,Chemicals,837.3,21321.11,37.98,27.93,-21.94,0.29,2.32,2.21,7.81,13.93,487.16,43.77,1.79,-9.17,-71.89,21.33,-3.3,1.12,14.77,8.33,27.44,-13.27,13.45,7.08,-21.9,-3.79,24.25,2069.0,-405.0,16789.0,3820.0,-38.37,6932.53,6129.85,3000.0,4414.42,7632.0,11449.39,-83.0,13.29,21.96,11.63,11.96,9.14,13.48,14853.0,10.87,0.71,0.71,-13.27,27.44,142.72,48.37,857.81,"Chemicals, Diversified"
Tata Comm,500483.0,TATACOMM,Telecommunications - Service Provider,1591.4,45377.88,58.86,39.88,64.43,4.09,47.34,4.47,14.82,19.77,1137.94,39.88,1.05,10.2,5.62,28.82,1.24,0.58,11.38,6.25,-8.24,32.15,,74.75,-8.0,13.29,29.88,4569.03,1836.78,20968.82,4230.1,8.01,9121.54,12413.49,4720.92,9102.06,10477.16,17860.81,-203.59,16.99,14.51,17.55,65.21,18.75,19.23,23108.59,12.16,0.57,0.57,32.15,-8.24,38.8,54.21,1568.28,"Information Technology, Telecommunication"
Tata Consumer,500800.0,TATACONSUM,Tea,1165.8,115331.08,33.84,28.83,12.92,0.12,7.11,4.31,9.27,14.07,1282.41,89.93,0.66,15.87,-4.69,75.39,5.81,1.54,12.34,12.82,9.93,15.48,7.02,7.43,6.49,12.74,27.41,2479.35,1287.1,15205.85,2284.1,8.55,1412.01,1586.32,4590.36,7337.28,5454.62,8626.8,155.72,21.54,21.96,10.65,8.32,9.75,9.3,17618.3,42.99,0.92,0.92,14.71,8.72,63.85,76.47,1051.77,Fast Moving Consumer Goods
Tata Elxsi,500408.0,TATAELXSI,Computers - Software - Medium / Small,5766.0,35923.31,43.91,31.76,126.03,0.07,29.26,23.18,36.22,26.09,784.94,45.77,1.21,4.98,-0.81,58.66,1.86,5.28,14.71,18.29,12.65,24.67,34.12,34.2,-18.23,-9.37,48.34,972.94,784.94,3552.15,1047.3,-7.1,138.5,58.27,1837.18,2647.59,2000.07,2920.49,5.1,12.73,8.54,42.74,34.47,42.23,42.89,3729.05,29.95,5.28,5.28,24.66,12.65,59.51,60.33,5553.45,Information Technology
Tata Inv.Corpn.,501301.0,TATAINVEST,Finance & Investments,5935.5,29999.94,73.38,20.15,61.68,0.0,1.02,0.92,1.21,87.26,312.09,96.13,0.47,-20.79,-18.93,134.57,3.41,0.92,6.32,16.22,13.36,28.2,1.28,1.27,-10.48,58.39,51.52,266.2,312.09,385.15,352.23,-24.42,0.0,0.0,669.56,877.59,670.71,879.07,-102.41,2.46,0.53,1.67,1.55,1.43,1.45,305.08,80.97,0.92,0.92,28.2,13.36,43.78,38.67,6171.02,Financial services
