Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
Honeywell Auto,517174.0,HONAUT,Electronics - Components,34520.0,30476.43,75.0,46.25,601.59,0.02,14.76,10.73,19.85,14.78,531.9,57.3,0.29,1.73,14.34,86.94,8.27,3.9,10.07,5.03,2.91,6.93,16.57,14.02,-23.52,-4.89,3.8,595.1,531.9,3447.6,521.4,6.59,73.89,0.0,1048.26,1636.26,1112.18,1806.55,2341.5,2.6,12.35,19.54,14.54,18.73,23.3,4025.8,35.85,3.75,3.75,6.93,2.91,17.55,52.81,34970.27,Capital Goods
Hyundai Motor I,544274.0,HYUNDAI,Automobiles - Passenger Cars,1707.6,138658.54,82.5,26.56,,0.08,39.58,19.9,51.41,13.09,5950.01,23.3,0.0,14.69,27.73,29.65,1.28,1.44,19.0,9.64,47.63,18.14,23.01,27.43,,,,8969.22,5954.31,59761.45,7453.83,20.33,1353.94,1069.4,14040.24,18050.05,20669.93,30106.53,-16629.92,7.17,7.0,33.1,25.59,35.67,29.47,68538.61,12.6,1.1,1.1,,,181.09,54.33,1698.43,"Automobile and Auto Components, Diversified"
I O B,532388.0,IOB,Banks - Public Sector,37.53,72364.36,94.61,8.52,1.64,11.9,9.98,0.8,5.41,52.74,3091.73,23.41,0.0,19.96,23.79,-17.83,1.07,,12.33,6.41,47.32,21.9,-1.2,9.14,-44.89,27.17,37.27,14305.34,3091.73,19400.33,9644.82,21.57,243959.88,228680.12,-12161.57,-21366.65,-11194.83,-20268.48,-2052.4,0.22,2.59,4.53,8.69,4.8,4.13,27126.31,20.27,,,18.48,40.62,0.0,43.04,41.24,Banks - Public Sector
I O C L,530965.0,IOC,Refineries,137.86,194718.41,51.5,20.02,9.63,0.82,6.56,2.49,7.37,4.75,12133.12,16.05,8.7,-2.35,-70.74,8.8,0.71,0.68,8.76,9.4,-21.51,22.59,15.52,13.12,-18.35,17.96,19.69,35990.54,13788.83,776351.85,75645.75,-52.42,132019.59,129790.33,66381.9,96576.23,171840.98,247237.87,250.24,7.39,9.97,21.14,25.66,12.2,13.48,758105.81,8.33,0.18,0.18,22.59,-21.51,31.15,61.97,130.91,Oil Gas & Consumable Fuels
I R C T C,542830.0,IRCTC,Travel Agencies,751.5,60104.23,62.4,48.72,15.51,0.01,40.45,20.65,53.77,33.49,1233.6,48.72,0.93,11.86,8.55,95.09,1.51,1.91,76.5,17.96,93.62,32.2,37.51,41.89,-27.65,0.25,23.19,1527.49,1241.08,3541.47,1276.27,6.96,79.46,0.0,1896.77,2441.31,2217.87,2874.48,262.49,7.37,13.89,59.19,45.36,54.76,48.45,4561.02,33.42,1.91,1.91,32.2,93.62,46.79,52.63,742.4,Services
I R F C,543257.0,IRFC,Finance - Term-Lending Institutions,124.47,162702.15,86.36,22.49,4.98,7.83,12.77,1.34,5.83,99.43,6502.0,25.02,1.29,1.9,1.4,-39.18,1.64,20.59,10.18,15.13,2.21,15.29,13.94,13.56,-20.85,77.39,,26998.85,6502.0,26645.47,26512.61,1.83,388439.97,234376.72,-12454.59,-166780.99,-12444.69,-166763.62,5657.52,0.98,1.34,5.73,13.66,5.62,5.4,27152.86,21.06,20.59,20.59,13.11,2.21,16.08,44.18,128.44,Financial services
ICICI Bank,532174.0,ICICIBANK,Banks - Private Sector,1427.0,1017064.61,0.0,11.67,71.65,5.97,17.97,2.18,7.88,28.78,51029.2,19.93,0.7,16.81,15.33,11.48,0.5,,25.0,17.04,26.67,39.77,16.81,18.02,24.04,24.29,30.28,53625.73,54569.38,159515.93,59955.94,-10.56,1252968.47,1014636.24,265824.24,458532.39,276318.55,472445.28,51106.13,45.83,44.77,7.6,18.8,7.27,6.61,186331.47,17.78,,,37.12,25.64,15.35,69.85,1327.84,"Banks - Private Sector, Diversified"
ICICI Lombard,540716.0,ICICIGI,Finance & Investments,1876.5,93113.25,51.55,49.5,50.6,0.0,18.8,3.79,24.86,13.69,2508.29,37.12,0.32,16.95,30.61,52.61,2.32,0.27,14.35,15.78,25.4,16.0,17.9,17.86,9.7,13.59,7.77,3281.42,2508.29,20487.37,2577.3,27.32,255.0,485.0,5305.5,7737.54,5844.2,8426.87,-247.01,23.68,17.74,22.52,16.96,22.87,22.88,23960.92,28.01,0.27,0.27,14.0,24.99,22.73,60.63,1800.9,Financial services
ICICI Pru Life,540133.0,ICICIPRULI,Finance & Investments,614.35,88828.96,73.0,49.5,8.2,0.22,10.34,0.39,11.83,1.43,1185.52,74.93,0.1,-21.63,39.36,-15.38,35.18,1.29,3.65,27.48,16.02,2.13,9.33,9.01,7.24,5.33,8.32,1009.63,1185.52,90307.29,-1828.72,155.21,1200.0,0.0,-17325.08,-8310.38,-16638.41,-7493.68,-1115.69,13.24,8.8,8.75,8.07,10.2,10.76,70778.14,57.16,1.29,1.29,2.0,15.8,10.36,63.63,586.42,Financial services
ICICI Securities,541179.0,ISEC,Finance & Investments,896.2,29148.63,74.35,12.49,59.7,3.89,41.55,6.97,18.19,70.41,1941.45,15.01,3.24,25.4,14.52,-10.09,0.52,5.59,22.61,29.76,12.0,29.04,50.22,44.42,18.51,16.92,19.62,4457.84,1941.45,5049.21,3371.5,32.22,7845.53,1657.2,-8663.64,-12974.01,-8073.89,-12280.85,-14.71,11.17,8.49,19.73,50.05,18.67,24.0,6331.67,7.9,5.59,5.59,28.8,11.71,29.87,77.72,835.59,Financial services
IDBI Bank,500116.0,IDBI,Banks - Private Sector,79.83,85836.42,94.71,11.67,7.1,5.35,13.54,1.97,6.76,68.42,7630.68,11.25,1.88,9.35,33.15,12.26,0.54,,16.44,6.76,44.42,21.02,9.35,11.42,-11.64,20.79,30.06,19785.34,7656.32,26445.65,17212.32,14.95,247194.57,258962.71,21008.44,29266.36,21868.39,30379.62,18461.83,0.46,0.18,6.23,11.77,5.93,5.41,28917.07,16.68,,,20.82,44.42,29.59,50.13,78.46,"Banks - Private Sector, Diversified"
IDFC First Bank,539437.0,IDFCFIRSTB,Banks - Private Sector,64.89,47507.87,0.0,11.67,2.04,7.66,4.24,0.47,6.22,33.14,1490.35,31.88,0.0,20.37,-49.23,5.41,1.57,,28.58,17.58,122.05,20.34,6.07,7.88,-21.01,17.99,24.26,12095.31,1490.35,30325.11,12426.48,-2.67,158502.23,122476.13,26341.44,42033.75,29570.98,46291.82,2314.04,25.68,19.3,6.93,10.1,6.58,6.12,36501.64,17.75,,,18.58,110.27,12.28,58.12,61.25,"Banks - Private Sector, Diversified"
